Ok(Profile { program: Program1, repetitions: 10, row_count: 31000, col_count: 31000, element_count: 961000000, element_sum: 14895019500000, time_min: 454.39572, time_max: 463.10605, time_mean: 458.34122, time_stdev: 2.5055487 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 31000, col_count: 31000, element_count: 961000000, element_sum: 14895019500000, time_min: 4658.1675, time_max: 4735.463, time_mean: 4671.289, time_stdev: 21.699593 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 31000, col_count: 31000, element_count: 961000000, element_sum: 14895019500000, time_min: 35835.72, time_max: 36690.293, time_mean: 36058.145, time_stdev: 264.59442 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 32000, col_count: 32000, element_count: 1024000000, element_sum: 16383488000000, time_min: 476.18228, time_max: 488.89243, time_mean: 482.3029, time_stdev: 3.0738564 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 32000, col_count: 32000, element_count: 1024000000, element_sum: 16383488000000, time_min: 13472.541, time_max: 13490.53, time_mean: 13480.928, time_stdev: 5.62933 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 32000, col_count: 32000, element_count: 1024000000, element_sum: 16383488000000, time_min: 90133.1, time_max: 90626.55, time_mean: 90305.41, time_stdev: 132.73355 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 33000, col_count: 33000, element_count: 1089000000, element_sum: 17967955500000, time_min: 509.77676, time_max: 517.3862, time_mean: 514.1315, time_stdev: 2.4843838 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 33000, col_count: 33000, element_count: 1089000000, element_sum: 17967955500000, time_min: 5249.4097, time_max: 5321.883, time_mean: 5265.228, time_stdev: 20.876913 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 33000, col_count: 33000, element_count: 1089000000, element_sum: 17967955500000, time_min: 40617.28, time_max: 40762.957, time_mean: 40663.957, time_stdev: 39.94692 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 34000, col_count: 34000, element_count: 1156000000, element_sum: 19651422000000, time_min: 541.0045, time_max: 551.9567, time_mean: 545.9018, time_stdev: 2.714863 })
